Outlet_ID,area(sqft)
ID7203,5660
ID1878,4138
ID1740,5546
ID4366,5134
ID8358,4100
ID4722,5593
ID5579,4184
ID3876,4063
ID7275,3162
ID3726,5537
ID9528,5763
ID2152,3226
ID3656,4795
ID4395,3719
ID7405,4797
ID9945,3050
ID6950,5765
ID5199,4126
ID5556,3439
ID8920,4936
ID6352,4223
ID2508,4266
ID5561,4393
ID6952,5690
ID5295,4459
ID8631,4024
ID8493,3964
ID6166,3639
ID2979,4136
ID9941,4967
ID1110,4051
ID7864,4359
ID1734,4648
ID8228,5406
ID3807,5632
ID5879,4879
ID2673,5685
ID6055,4779
ID3715,4303
ID9780,3544
ID6863,3606
ID5591,3886
ID9919,3210
ID4975,4832
ID3946,5044
ID7416,3642
ID6026,4395
ID7321,5905
ID3582,5368
ID4625,3445
ID3447,5947
ID4092,4738
ID6025,5479
ID9440,4859
ID8194,4995
ID2846,3043
ID4192,4090
ID8119,3905
ID9823,4843
ID8893,3301
ID5021,3470
ID8735,3933
ID7332,4799
ID6292,4278
ID7462,5121
ID5250,5033
ID1997,4496
ID3097,3627
ID2499,5676
ID1234,3999
ID1008,3387
ID9716,4088
ID8619,5740
ID1097,4175
ID2819,4803
ID2419,4881
ID6094,5661
ID4003,4841
ID1946,3563
ID1818,4003
ID3425,3893
ID3688,4030
ID9010,3614
ID8193,5400
ID2906,3767
ID3083,3403
ID4299,4009
ID6039,5118
ID2142,3538
ID1635,3465
ID1732,4524
ID7022,4020
ID7466,5610
ID6900,5355
ID2957,3605
ID7687,5475
ID2481,3727
ID9979,4456
ID1365,5823
ID9549,3897
ID7657,4286
ID5859,4786
ID5152,4572
ID6135,5069
ID7260,4085
ID4108,4232
ID2137,4843
ID2263,5756
ID9349,4175
ID1520,4114
ID3221,5774
ID4752,5700
ID8286,3314
ID9062,5775
ID2655,5692
ID1859,4527
ID3980,5216
ID5797,5214
ID6126,3959
ID2716,3411
ID6156,3147
ID7050,5378
ID7238,4995
ID9331,5168
ID8594,3416
ID5134,5645
ID8187,3666
ID5643,3601
ID7417,5533
ID2110,4486
ID3420,5423
ID2276,4868
ID9185,4537
ID1696,3638
ID8319,3709
ID6766,3886
ID4365,3934
ID9727,5278
ID7138,3587
ID4734,5908
ID1259,5698
ID2126,3572
ID7978,5007
ID6105,5595
ID1150,4605
ID9355,5453
ID4920,5777
ID9971,3960
ID7897,4780
ID8025,5194
ID5340,4340
ID8419,4679
ID6628,4727
ID6210,4591
ID8996,4164
ID2562,5754
ID2059,5832
ID7681,4144
ID9163,4632
ID9131,3971
ID6225,5953
ID5858,3677
ID1083,3234
ID2525,5871
ID5499,3800
ID5606,4151
ID3910,5142
ID9710,5461
ID6167,3600
ID4109,3527
ID3331,3913
ID8071,645
ID5229,1367
ID2378,1991
ID1329,1774
ID4958,1357
ID1860,481
ID4394,123
ID9347,505
ID4281,349
ID5099,1517
ID2180,1766
ID5825,1894
ID5889,465
ID3214,1553
ID5436,1309
ID8133,528
ID4976,670
ID1072,1721
ID4214,864
ID8292,1130
ID6573,1043
ID9449,1795
ID8354,542
ID6408,509
ID7472,264
ID1893,1583
ID4779,632
ID9777,151
ID6542,955
ID8443,655
ID9903,1272
ID8060,394
ID2054,1155
ID4026,306
ID8142,886
ID6823,699
ID4883,763
ID1494,152
ID2283,125
ID8159,289
ID5158,727
ID3310,521
ID6379,1601
ID4367,895
ID6708,212
ID3127,145
ID6038,396
ID7277,788
ID4005,1996
ID7383,556
ID1902,1388
ID2944,1237
ID8405,852
ID5868,1683
ID8213,1149
ID6526,854
ID7994,1524
ID4323,614
ID8399,268
ID1763,329
ID4434,471
ID6214,1608
ID5518,1589
ID6660,1235
ID5563,203
ID5971,1148
ID9609,1162
ID8654,287
ID6611,503
ID7422,1266
ID5306,433
ID2198,1013
ID7212,1554
ID3797,993
ID6289,1838
ID7851,9885
ID8433,4602
ID7772,4876
ID4520,9331
ID9071,8088
ID9508,5142
ID4786,3783
ID1844,3100
ID5655,1413
ID5772,5026
ID6574,4980
ID8972,1790
ID4138,4582
ID5036,8351
ID5538,6400
ID7120,7288
ID2648,6740
ID3773,3234
ID7763,8617
ID4015,9546
ID6700,5208
ID4232,1928
ID5400,1989
ID7409,2574
ID5341,9896
ID8769,9793
ID4389,4734
ID3968,8664
ID5106,6656
ID1417,5669
ID7107,2049
ID1338,4109
ID8711,3776
ID5939,3958
ID1501,2403
ID8461,1968
ID7760,6981
ID7239,9648
ID7011,4585
ID5166,5906
ID7309,4208
ID7858,4506
ID3189,2515
ID8753,9894
ID5330,4946
ID8463,3533
ID1485,4535
ID4811,2375
ID2291,2079
ID9762,5290
ID4857,6601
ID2611,3867
ID1954,7336
ID9653,1856
ID1137,2943
ID2725,5242
ID9348,7849
ID6908,1011
ID4785,5150
ID7613,4635
ID4557,9544
ID4678,5636
ID6278,1547
ID3232,8896
ID2170,8077
ID4584,3104
ID1531,6928
ID5557,2675
ID6394,9329
ID9802,6735
ID9377,8291
ID4951,3138
ID2044,7373
ID1024,3127
ID8278,3600
ID4675,6086
ID4176,1949
ID9715,7037
ID1575,4404
ID5388,6033
ID3222,2752
ID4419,8694
ID5677,5797
ID3517,6050
ID4527,4199
ID2425,7389
ID2932,6102
ID5386,7419
ID3153,9634
ID7293,3939
ID7204,9128
ID4179,1873
ID3227,3259
ID8212,4372
ID4875,1137
ID9042,1937
ID6554,6302
ID5618,3061
ID7788,6951
ID4699,9425
ID6697,7071
ID3794,9219
ID6954,5495
ID7041,5603
ID4931,4253
ID3768,4743
ID5679,7000
ID5446,4436
ID5799,2956
ID6080,9023
ID4170,6332
ID3741,6768
ID8963,5745
ID9672,7165
ID6641,6594
ID4895,5335
ID4035,1460
ID6901,9587
ID4859,6504
ID4794,9547
ID9926,3041
ID6361,6462
ID6475,3207
ID1750,8748
ID1379,3391
ID6600,5825
ID7469,2088
ID4099,4443
ID6476,6318
ID5468,9104
ID4692,3784
ID4473,2232
ID1298,1728
ID5654,2868
ID6925,1155
ID9760,5392
ID2493,6069
ID3343,2904
ID8278,4980
ID2117,4732
ID7140,2987
ID7305,2702
ID4010,1829
ID3140,4278
ID7346,4273
ID8977,2265
ID7937,2738
ID2984,4885
ID8564,2301
ID4622,1734
ID6501,4881
ID9424,2750
ID1718,1506
ID1429,1300
ID1543,1295
ID4775,1238
ID2270,2255
ID5002,1372
ID7957,4444
ID3899,3948
ID8631,3196
ID9151,1203
ID3662,3715
ID7064,1085
ID1819,1180
ID6874,1212
ID5532,1067
ID3409,2069
ID1214,2165
ID3549,4292
ID4352,3379
ID4469,3941
ID9841,578
ID2600,807
ID8112,3667
ID8924,1793
ID6387,2031
ID5720,2982
ID4545,3643
ID8569,1069
ID1745,3898
ID5440,2392
ID7313,4155
ID8975,2289
ID6103,657
ID8877,4989
ID6037,3310
ID1134,2961
ID5840,4054
ID1012,1931
ID7290,4436
ID3169,4284
ID5381,1026
ID1603,542
ID2467,1741
ID9465,1583
ID5942,3442
ID1948,508
ID4003,2990
ID2077,4641
ID9065,3825
ID8333,3653
ID6284,884
ID9980,4256
ID2382,3579
ID2582,896
ID5432,3323
ID1551,3939
ID3767,3713
ID3815,1826
ID9642,3206
ID5501,1883
ID6675,1364
ID3287,3535
ID1953,1785
ID5211,1691
ID5562,1381
ID4231,1814
ID4669,1119
ID5781,3871
ID6904,2525
ID7376,1517
ID9948,2266
ID6449,4567
ID2005,1663
ID4902,2498
ID1743,4465
ID3948,2103
ID7573,1685
ID1916,2834
ID8444,2328
ID9619,1411
ID1360,3404
ID3335,1357
ID2456,4406
ID3874,731
ID5985,4672
ID5264,670
ID5393,2557
ID9262,1374
ID4301,3054
ID4506,1547
ID8552,2049
ID5726,2055
ID1726,1371
ID6490,4565
ID4368,1941
ID9469,1783
ID1365,1291
ID4158,7058
ID6886,8650
ID3871,8529
ID1808,8895
ID3376,7751
ID3551,9912
ID5770,6192
ID4587,4762
ID1443,7264
ID8689,4162
ID6976,7091
ID9335,5178
ID8750,6993
ID6089,5234
ID5178,6889
ID2112,6875
ID8167,4202
ID3236,6626
ID7167,9832
ID7392,3432
ID6385,8999
ID7769,8495
ID6558,7864
ID2861,3331
ID3024,3494
ID9229,4031
ID2729,9199
ID9585,5795
ID7380,3159
ID7388,6729
ID2170,6169
ID9973,4038
ID5062,9884
ID7881,3187
ID8909,5419
ID6805,4434
ID7381,9104
ID4487,5900
ID3652,3672
ID1811,9058
ID9876,8339
ID9061,5080
