Outlet_ID,week,pid,product_name,no_units
ID7203,1,IP1,Vanilla Mini Cone,874.0
ID7203,1,IP2,Chocolate Petite Bar,105.0
ID7203,1,IP3,Strawberry Tiny Cup,1198.0
ID7203,1,IP4,Mint Bite-size Pop,502.0
ID7203,1,IP5,Butter Pecan Small Stick,710.0
ID7203,2,IP1,Vanilla Mini Cone,644.0
ID7203,2,IP2,Chocolate Petite Bar,265.0
ID7203,2,IP3,Strawberry Tiny Cup,1106.0
ID7203,2,IP4,Mint Bite-size Pop,387.0
ID7203,3,IP1,Vanilla Mini Cone,600.0
ID7203,3,IP2,Chocolate Petite Bar,638.0
ID7203,3,IP3,Strawberry Tiny Cup,108.0
ID7203,3,IP4,Mint Bite-size Pop,703.0
ID7203,3,IP5,Butter Pecan Small Stick,756.0
ID7203,4,IP1,Vanilla Mini Cone,106.0
ID7203,4,IP2,Chocolate Petite Bar,622.0
ID7203,4,IP3,Strawberry Tiny Cup,757.0
ID7203,4,IP5,Butter Pecan Small Stick,1098.0
ID7203,5,IP1,Vanilla Mini Cone,775.0
ID7203,5,IP2,Chocolate Petite Bar,1090.0
ID7203,5,IP3,Strawberry Tiny Cup,253.0
ID7203,5,IP4,Mint Bite-size Pop,230.0
ID7203,5,IP5,Butter Pecan Small Stick,454.0
ID7203,6,IP1,Vanilla Mini Cone,713.0
ID7203,6,IP2,Chocolate Petite Bar,287.0
ID7203,6,IP3,Strawberry Tiny Cup,756.0
ID7203,6,IP4,Mint Bite-size Pop,751.0
ID7203,6,IP5,Butter Pecan Small Stick,720.0
ID7203,7,IP1,Vanilla Mini Cone,224.0
ID7203,7,IP2,Chocolate Petite Bar,825.0
ID7203,7,IP3,Strawberry Tiny Cup,1006.0
ID7203,7,IP4,Mint Bite-size Pop,110.0
ID7203,7,IP5,Butter Pecan Small Stick,827.0
ID7203,8,IP1,Vanilla Mini Cone,993.0
ID7203,8,IP2,Chocolate Petite Bar,493.0
ID7203,8,IP3,Strawberry Tiny Cup,1183.0
ID7203,8,IP5,Butter Pecan Small Stick,469.0
ID7203,9,IP2,Chocolate Petite Bar,929.0
ID7203,9,IP3,Strawberry Tiny Cup,622.0
ID7203,9,IP4,Mint Bite-size Pop,758.0
ID7203,10,IP1,Vanilla Mini Cone,262.0
ID7203,10,IP2,Chocolate Petite Bar,936.0
ID7203,10,IP3,Strawberry Tiny Cup,261.0
ID7203,10,IP4,Mint Bite-size Pop,465.0
ID7203,10,IP5,Butter Pecan Small Stick,560.0
ID7203,11,IP1,Vanilla Mini Cone,644.0
ID7203,11,IP2,Chocolate Petite Bar,1105.0
ID7203,11,IP3,Strawberry Tiny Cup,1051.0
ID7203,11,IP4,Mint Bite-size Pop,733.0
ID7203,11,IP5,Butter Pecan Small Stick,849.0
ID7203,12,IP1,Vanilla Mini Cone,526.0
ID7203,12,IP3,Strawberry Tiny Cup,826.0
ID7203,12,IP4,Mint Bite-size Pop,881.0
ID1878,1,IP1,Vanilla Mini Cone,918.0
ID1878,1,IP2,Chocolate Petite Bar,131.0
ID1878,1,IP4,Mint Bite-size Pop,633.0
ID1878,1,IP5,Butter Pecan Small Stick,915.0
ID1878,2,IP1,Vanilla Mini Cone,142.0
ID1878,2,IP2,Chocolate Petite Bar,173.0
ID1878,2,IP3,Strawberry Tiny Cup,759.0
ID1878,2,IP4,Mint Bite-size Pop,974.0
ID1878,3,IP1,Vanilla Mini Cone,579.0
ID1878,3,IP2,Chocolate Petite Bar,351.0
ID1878,3,IP3,Strawberry Tiny Cup,519.0
ID1878,3,IP4,Mint Bite-size Pop,951.0
ID1878,3,IP5,Butter Pecan Small Stick,409.0
ID1878,4,IP1,Vanilla Mini Cone,824.0
ID1878,4,IP2,Chocolate Petite Bar,398.0
ID1878,4,IP3,Strawberry Tiny Cup,1065.0
ID1878,4,IP4,Mint Bite-size Pop,334.0
ID1878,4,IP5,Butter Pecan Small Stick,1103.0
ID1878,5,IP1,Vanilla Mini Cone,690.0
ID1878,5,IP2,Chocolate Petite Bar,864.0
ID1878,5,IP3,Strawberry Tiny Cup,962.0
ID1878,5,IP4,Mint Bite-size Pop,281.0
ID1878,5,IP5,Butter Pecan Small Stick,416.0
ID1878,6,IP1,Vanilla Mini Cone,579.0
ID1878,6,IP2,Chocolate Petite Bar,771.0
ID1878,6,IP3,Strawberry Tiny Cup,684.0
ID1878,6,IP4,Mint Bite-size Pop,1173.0
ID1878,6,IP5,Butter Pecan Small Stick,106.0
ID1878,7,IP1,Vanilla Mini Cone,379.0
ID1878,7,IP2,Chocolate Petite Bar,1105.0
ID1878,7,IP4,Mint Bite-size Pop,813.0
ID1878,7,IP5,Butter Pecan Small Stick,586.0
ID1878,8,IP1,Vanilla Mini Cone,1156.0
ID1878,8,IP2,Chocolate Petite Bar,360.0
ID1878,8,IP3,Strawberry Tiny Cup,438.0
ID1878,8,IP4,Mint Bite-size Pop,692.0
ID1878,8,IP5,Butter Pecan Small Stick,855.0
ID1878,9,IP1,Vanilla Mini Cone,298.0
ID1878,9,IP2,Chocolate Petite Bar,1023.0
ID1878,9,IP3,Strawberry Tiny Cup,920.0
ID1878,9,IP4,Mint Bite-size Pop,897.0
ID1878,9,IP5,Butter Pecan Small Stick,174.0
ID1878,10,IP1,Vanilla Mini Cone,746.0
ID1878,10,IP2,Chocolate Petite Bar,411.0
ID1878,10,IP3,Strawberry Tiny Cup,968.0
ID1878,10,IP4,Mint Bite-size Pop,882.0
ID1878,10,IP5,Butter Pecan Small Stick,954.0
ID1878,11,IP1,Vanilla Mini Cone,803.0
ID1878,11,IP2,Chocolate Petite Bar,133.0
ID1878,11,IP3,Strawberry Tiny Cup,541.0
ID1878,11,IP5,Butter Pecan Small Stick,733.0
ID1878,12,IP1,Vanilla Mini Cone,746.0
ID1878,12,IP2,Chocolate Petite Bar,902.0
ID1878,12,IP4,Mint Bite-size Pop,324.0
ID1878,12,IP5,Butter Pecan Small Stick,497.0
ID1740,1,IP1,Vanilla Mini Cone,188.0
ID1740,1,IP2,Chocolate Petite Bar,919.0
ID1740,1,IP3,Strawberry Tiny Cup,635.0
ID1740,1,IP4,Mint Bite-size Pop,1092.0
ID1740,1,IP5,Butter Pecan Small Stick,908.0
ID1740,2,IP1,Vanilla Mini Cone,527.0
ID1740,2,IP2,Chocolate Petite Bar,537.0
ID1740,2,IP3,Strawberry Tiny Cup,644.0
ID1740,2,IP4,Mint Bite-size Pop,816.0
ID1740,2,IP5,Butter Pecan Small Stick,684.0
ID1740,3,IP1,Vanilla Mini Cone,331.0
ID1740,3,IP2,Chocolate Petite Bar,1174.0
ID1740,3,IP3,Strawberry Tiny Cup,1119.0
ID1740,3,IP4,Mint Bite-size Pop,973.0
ID1740,3,IP5,Butter Pecan Small Stick,105.0
ID1740,4,IP1,Vanilla Mini Cone,644.0
ID1740,4,IP2,Chocolate Petite Bar,972.0
ID1740,4,IP3,Strawberry Tiny Cup,428.0
ID1740,4,IP4,Mint Bite-size Pop,708.0
ID1740,4,IP5,Butter Pecan Small Stick,308.0
ID1740,5,IP1,Vanilla Mini Cone,512.0
ID1740,5,IP2,Chocolate Petite Bar,416.0
ID1740,5,IP3,Strawberry Tiny Cup,743.0
ID1740,5,IP4,Mint Bite-size Pop,1061.0
ID1740,5,IP5,Butter Pecan Small Stick,1090.0
ID1740,6,IP1,Vanilla Mini Cone,808.0
ID1740,6,IP2,Chocolate Petite Bar,792.0
ID1740,6,IP3,Strawberry Tiny Cup,565.0
ID1740,6,IP5,Butter Pecan Small Stick,1025.0
ID1740,7,IP1,Vanilla Mini Cone,391.0
ID1740,7,IP2,Chocolate Petite Bar,657.0
ID1740,7,IP3,Strawberry Tiny Cup,808.0
ID1740,7,IP5,Butter Pecan Small Stick,282.0
ID1740,8,IP1,Vanilla Mini Cone,1050.0
ID1740,8,IP2,Chocolate Petite Bar,600.0
ID1740,8,IP3,Strawberry Tiny Cup,241.0
ID1740,8,IP4,Mint Bite-size Pop,350.0
ID1740,8,IP5,Butter Pecan Small Stick,571.0
ID1740,9,IP1,Vanilla Mini Cone,248.0
ID1740,9,IP3,Strawberry Tiny Cup,414.0
ID1740,9,IP4,Mint Bite-size Pop,634.0
ID1740,9,IP5,Butter Pecan Small Stick,776.0
ID1740,10,IP1,Vanilla Mini Cone,903.0
ID1740,10,IP2,Chocolate Petite Bar,230.0
ID1740,10,IP3,Strawberry Tiny Cup,639.0
ID1740,10,IP4,Mint Bite-size Pop,1027.0
ID1740,10,IP5,Butter Pecan Small Stick,282.0
ID1740,11,IP1,Vanilla Mini Cone,1157.0
ID1740,11,IP2,Chocolate Petite Bar,911.0
ID1740,11,IP3,Strawberry Tiny Cup,1026.0
ID1740,11,IP5,Butter Pecan Small Stick,599.0
ID1740,12,IP1,Vanilla Mini Cone,866.0
ID1740,12,IP2,Chocolate Petite Bar,908.0
ID1740,12,IP3,Strawberry Tiny Cup,575.0
ID1740,12,IP4,Mint Bite-size Pop,531.0
ID1740,12,IP5,Butter Pecan Small Stick,187.0
ID4366,1,IP1,Vanilla Mini Cone,117.0
ID4366,1,IP2,Chocolate Petite Bar,198.0
ID4366,1,IP3,Strawberry Tiny Cup,1016.0
ID4366,1,IP4,Mint Bite-size Pop,1165.0
ID4366,1,IP5,Butter Pecan Small Stick,914.0
ID4366,2,IP1,Vanilla Mini Cone,239.0
ID4366,2,IP2,Chocolate Petite Bar,345.0
